condition,accident
기타/불명,1459
눈,3057
맑음,179009
비,17361
안개,404
흐림,12881
기타/불명,1345
눈,1732
맑음,177447
비,20168
안개,566
흐림,12487
기타/불명,1102
눈,1328
맑음,174561
비,20704
안개,562
흐림,13405
기타/불명,1033
눈,1773
맑음,186143
비,15920
안개,569
흐림,10384
기타/불명,963
눈,2002
맑음,198586
비,18766
안개,545
흐림,11128
기타/불명,1232
눈,3867
맑음,185850
비,21296
안개,598
흐림,14035
기타/불명,1541
눈,1913
맑음,184835
비,20704
안개,369
흐림,12349
기타/불명,1416
눈,2774
맑음,186840
비,21460
안개,316
흐림,10850
기타/불명,1530
눈,1851
맑음,185655
비,16047
안개,411
흐림,9860
기타/불명,2072
눈,1988
맑음,192007
비,17456
안개,347
흐림,9682
기타/불명,1263
눈,1009
맑음,199816
비,19938
안개,428
흐림,9581
기타/불명,55
눈,48
맑음,3602
비,469
안개,11
흐림,249
기타/불명,55
눈,34
맑음,3751
비,231
안개,6
흐림,301
기타/불명,26
눈,94
맑음,3567
비,299
안개,13
흐림,240
기타/불명,66
눈,1
맑음,3852
비,353
안개,7
흐림,133
기타/불명,75
눈,33
맑음,3456
비,298
안개,4
흐림,164
