기준 연도,기상 상태,부상자 수,사고 건수,사망자 수
2005,기타/불명,2161,1459,35
2005,눈,5940,3057,77
2005,맑음,282473,179009,5019
2005,비,29800,17361,619
2005,안개,736,404,44
2005,흐림,21123,12881,582
2006,기타/불명,2046,1345,27
2006,눈,3221,1732,37
2006,맑음,279244,177447,4928
2006,비,34073,20168,706
2006,안개,1033,566,75
2006,흐림,20612,12487,554
2007,기타/불명,1649,1102,13
2007,눈,2537,1328,46
2007,맑음,273490,174561,4733
2007,비,35357,20704,751
2007,안개,1065,562,53
2007,흐림,21808,13405,570
2008,기타/불명,1517,1033,18
2008,눈,3451,1773,56
2008,맑음,289237,186143,4744
2008,비,27125,15920,531
2008,안개,1074,569,60
2008,흐림,16558,10384,461
2009,기타/불명,1416,963,10
2009,눈,3829,2002,49
2009,맑음,306268,198586,4747
2009,비,31360,18766,569
2009,안개,935,545,55
2009,흐림,18067,11128,408
2010,기타/불명,1792,1232,20
2010,눈,6887,3867,89
2010,맑음,285597,185850,4250
2010,비,34970,21296,593
2010,안개,964,598,37
2010,흐림,22248,14035,516
2011,기타/불명,2220,1541,24
2011,눈,3358,1913,43
2011,맑음,282194,184835,4087
2011,비,33381,20704,611
2011,안개,647,369,36
2011,흐림,19591,12349,428
2012,기타/불명,2142,1416,29
2012,눈,4872,2774,63
2012,맑음,285210,186840,4233
2012,비,34496,21460,625
2012,안개,540,316,35
2012,흐림,17305,10850,407
2013,기타/불명,2171,1530,45
2013,눈,3380,1851,60
2013,맑음,281631,185655,4126
2013,비,25513,16047,430
2013,안개,743,411,45
2013,흐림,15273,9860,386
2014,기타/불명,2837,2072,36
2014,눈,3299,1988,51
2014,맑음,288297,192007,3825
2014,비,27657,17456,460
2014,안개,602,347,26
2014,흐림,14805,9682,364
2015,기타/불명,1789,1263,22
2015,눈,1739,1009,31
2015,맑음,300311,199816,3699
2015,비,31042,19938,463
2015,안개,887,428,42
2015,흐림,14632,9581,364
2016,기타/불명,78,55,1
2016,눈,108,48,0
2016,맑음,5568,3602,62
2016,비,740,469,12
2016,안개,23,11,0
2016,흐림,368,249,5
2017,기타/불명,78,55,0
2017,눈,54,34,1
2017,맑음,5623,3751,62
2017,비,372,231,6
2017,안개,7,6,0
2017,흐림,468,301,11
2018,기타/불명,31,26,2
2018,눈,197,94,1
2018,맑음,5566,3567,58
2018,비,442,299,14
2018,안개,22,13,1
2018,흐림,353,240,6
2019,기타/불명,94,66,3
2019,눈,1,1,0
2019,맑음,5930,3852,48
2019,비,567,353,8
2019,안개,14,7,0
2019,흐림,212,133,7
2020,기타/불명,115,75,5
2020,눈,46,33,0
2020,맑음,5288,3456,56
2020,비,425,298,6
2020,안개,4,4,0
2020,흐림,253,164,1
